Nama Restoran,Preferensi Makanan,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Toko Sering Diskon (Ya/Tidak),Variasi Makanan,Pelayanan Khusus Pasangan (Ya/Tidak),Entertainment,Keramaian Restoran,Disajikan atau Ambil Sendiri,All You Can Eat atau Ala Carte,cluster_kmeans
"Rustik Bistro & Bar, Hotel Harper Malioboro Yogyakarta",Western,3.92 km,32000,3.8,Formal,Tidak,"Rice, Beverages, Western",Tidak,2,3,Disajikan,Ala Carte,0
"Gyudel Bowl & Nasi Goreng, Depok",Japanese,5.2 km,29000,4.7,Formal,Tidak,"Rice, Fast food, Japanese",Tidak,2,1,Disajikan,Ala Carte,0
"Sushi Story, Gejayan",Japanese,5.76 km,62000,4.6,Formal,Tidak,"Seafood, Japanese",Tidak,2,3,Disajikan,Ala Carte,2
"Burgerax, Imogiri Timur",Western,3.24 km,38000,4.6,Santai,Tidak,"Snacks, Western, Fast food",Tidak,4,2,Disajikan,Ala Carte,2
"Pulung Steak & Ribs, Catur Tunggal",Western,3.64 km,43000,4.6,Santai,Ya,Western,Tidak,1,3,Disajikan,Ala Carte,2
"Burger Bangor Express, Bantul",Western,4.22 km,40000,4.8,Santai,Tidak,"Western, Fast food, Chicken & duck",Tidak,3,1,Disajikan,Ala Carte,2
"BurgeriOr, Tempel",Western,4.12 km,40000,4.7,Santai,Ya,"Western, Fast food, Snacks",Tidak,3,2,Disajikan,Ala Carte,2
"Mamam Food, Pringgolayan Banguntapan",Western,2.17 km,27000,4.7,Santai,Tidak,"Western, Pizza & pasta, Rice",Tidak,2,1,Disajikan,Ala Carte,0
"Yamie Panda, Cokroaminoto",Chinese,4.3 km,28000,4.7,Santai,Ya,"Bakmie, Chinese, Bakso & soto",Ya,3,1,Disajikan,Ala Carte,0
"Kedai Mie Nyinyir, Sorogenen",Indonesia,1.46 km,22000,4.7,Santai,Ya,"Bakso & soto, Bakmie",Tidak,2,2,Disajikan,Ala Carte,0
"Dudidu Dimsum, ISI",Chinese,5.54 km,40000,4.6,Santai,Ya,"Chinese, Japanese, Korean",Tidak,4,2,Disajikan,Ala Carte,2
"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan",Chinese,0.72 km,25000,4.6,Santai,Tidak,"Chinese, Seafood, Bakmie",Tidak,1,3,Disajikan,Ala Carte,0
"Double O Resto, Tegalrejo",Japanese,4.61 km,30000,4.6,Santai,Tidak,"Coffee, Beverages, Japanese",Tidak,1,1,Disajikan,Ala Carte,0
"HokBen Kitchen, Godean Jogjakarta",Japanese,5.22 km,49000,4.7,Formal,Tidak,"Fast food, Japanese",Tidak,4,1,Disajikan,Ala Carte,2
Salad Sehat Fd,Japanese,4.79 km,30000,4.7,Santai,Tidak,"Fast food, Japanese, Korean",Tidak,3,3,Disajikan,Ala Carte,0
"Bakmi Nikmat Rasa, Soragan",Indonesia,5.29 km,59000,4.6,Santai,Tidak,Japanese,Tidak,3,1,Disajikan,Ala Carte,2
"GYU KATSU, CONDONGCATUR",Japanese,5.91 km,32000,4.7,Formal,Ya,"Japanese, Rice",Tidak,2,3,Disajikan,Ala Carte,0
"Vegan Cafe Black Forest, Brontokusuman",Chinese,2.25 km,22000,4.7,Santai,Tidak,"Minuman, Chinese, Barat",Tidak,2,3,Disajikan,Ala Carte,0
"Grennesia Salad Bar & Breakfast, Parangtritis",Western,2.23 km,22000,4.7,Formal,Tidak,"Rice, Western, Snacks",Tidak,1,3,Disajikan,Ala Carte,0
"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG",Japanese,6.2 km,40000,4.6,Formal,Tidak,"Snacks, Japanese",Tidak,4,2,Disajikan,Ala Carte,2
"Waroeng Steak And Shake, Tamansiswa",Western,1.18 km,40000,4.7,Santai,Tidak,Western,Tidak,2,1,Disajikan,Ala Carte,2
"Burger King, Diponegoro",Western,4.32 km,57000,4.7,Santai,Ya,"Western, Fast food",Tidak,2,2,Disajikan,Ala Carte,2
"ViaVia Jogja, Prawirotaman",Western,1.9 km,75000,4.8,Santai,Tidak,"Western, Indian, Pizza & pasta",Tidak,1,1,Disajikan,Ala Carte,2
"AMco, Parangtritis",Japanese,2.47 km,108000,4.7,Formal,Tidak,"Western, Japanese, Pizza & pasta",Tidak,1,1,Disajikan,Ala Carte,1
"The Rock Burger, Melati Wetan",Western,2.42 km,50000,4.7,Santai,Tidak,"Western, Rice, Fast food",Tidak,2,1,Disajikan,Ala Carte,2
"Lotek Gado-Gado Bu Ning, Tamansiswa",Indonesia,1.34 km,26000,4.7,Santai,Tidak,"Aneka nasi, Ayam & bebek, Bakso & soto",Tidak,4,3,Disajikan,Ala Carte,0
"Pecel Lele Dan Bakso Mie Ayam Sakolehe, Umbulharjo",Indonesia,0.53 km,20000,4.5,Santai,Tidak,"Aneka nasi, Ayam & bebek, Bakso & soto",Tidak,3,2,Disajikan,Ala Carte,0
"Pork King - Ricebox Babi, Gondokusuman",Chinese,2.22 km,52000,4.8,Santai,Tidak,"Aneka nasi, Cepat saji, Chinese",Tidak,4,1,Disajikan,Ala Carte,2
"PigGoo Kitchen, Baciro",Chinese,2.65 km,52000,4.5,Santai,Tidak,"Bakmie, Chinese, Aneka nasi",Tidak,3,3,Disajikan,Ala Carte,2
"Soto Sehati, Umbulharjo",Indonesia,0.75 km,26000,4.3,Santai,Tidak,Bakso & soto,Tidak,3,3,Disajikan,Ala Carte,0
"Bakso Urat & Mie Ayam Rizky, Sorogenen",Indonesia,1.5 km,17000,4.8,Santai,Tidak,"Bakso & soto, Bakmie",Tidak,2,2,Disajikan,Ala Carte,0
Izakaya Japanese Resto,Japanese,5.55 km,120000,4.8,Formal,Tidak,"Beverages, Japanese, Seafood",Tidak,4,2,Disajikan,Ala Carte,1
Yani's Kitchen,Chinese,3.58 km,26000,4.4,Santai,Tidak,"Chinese, Ayam & bebek, Aneka nasi, Bakmie",Tidak,2,3,Disajikan,Ala Carte,0
"Seafood 99, Wonocatur",Chinese,2.33 km,23000,4.7,Santai,Tidak,"Chinese, Seafood, Aneka nasi",Tidak,1,1,Disajikan,Ala Carte,0
"Hotaru Ramen, Banguntapan",Japanese,2.84 km,36000,4.0,Santai,Tidak,"Fast food, Japanese, Noodles",Tidak,4,3,Disajikan,Ala Carte,0
Kantin Mama Mirza,Indonesia,0.99 km,17000,4.2,Santai,Tidak,"Jajanan, Bakso & soto, Aneka nasi",Tidak,3,2,Disajikan,Ala Carte,0
"Mitsuru Ramen, Foodcourt135",Japanese,4.87 km,35000,4.3,Santai,Tidak,Japanese,Tidak,1,2,Disajikan,Ala Carte,0
"Warung Ramen N Katsu, Chapter 1 Menteri Supeno",Japanese,0.74 km,30000,4.6,Santai,Tidak,Japanese,Tidak,2,2,Disajikan,Ala Carte,0
Deta Kitchen,Japanese,5.68 km,16000,4.4,Santai,Tidak,"Japanese, Chinese",Tidak,3,2,Disajikan,Ala Carte,0
"Chicken Katsu Domreneo, Suryodiningratan",Japanese,3.01 km,21000,3.4,Santai,Ya,"Japanese, Rice, Chicken & duck",Tidak,1,3,Disajikan,Ala Carte,0
"Sushi Yay, Selokan Yogya",Japanese,5.11 km,82000,4.7,Santai,Ya,"Japanese, Rice, Fast food, Chicken & duck",Tidak,4,2,Disajikan,Ala Carte,2
Tanoshi Bedjo Homestay,Japanese,6.4 km,66000,4.5,Santai,Ya,"Japanese, Rice, Sate",Tidak,1,1,Disajikan,Ala Carte,2
Kantin Siap Saji Zupa Soup The Eifel,Western,1.56 km,22000,3.9,Santai,Tidak,"Pizza & pasta, Rice, Western",Tidak,2,2,Disajikan,Ala Carte,0
Penyetan Ayam Bakar Dan Suki Tomyam Yss Food,Japanese,6.09 km,32000,4.8,Santai,Tidak,"Rice, Chicken & duck, Japanese",Tidak,2,3,Disajikan,Ala Carte,0
"Bento Yay, Selokan Yogya",Japanese,5.11 km,58000,4.7,Formal,Ya,"Rice, Japanese, Chicken & duck",Tidak,2,1,Disajikan,Ala Carte,2
"Nikkou Ramen, Pakualaman",Japanese,1.64 km,32000,4.2,Santai,Tidak,"Rice, Noodles, Japanese",Tidak,4,3,Disajikan,Ala Carte,0
"d'Sushi & Takoyaki, Rejodadi Sidorejo",Japanese,5.95 km,34000,4.4,Santai,Tidak,"Rice, Snacks, Japanese",Tidak,1,2,Disajikan,Ala Carte,0
"Wangoen Zuppa Soup, Umbulharjo",Western,0.17 km,20000,4.7,Santai,Tidak,"Snacks, Western",Tidak,3,2,Disajikan,Ala Carte,0
"Burgerax, Prawirotaman",Western,2.02 km,38000,4.7,Santai,Tidak,"Snacks, Western, Fast food",Tidak,3,3,Disajikan,Ala Carte,2
"Kedai Jagoan Moy-Moy, Tamsis",Chinese,1.32 km,12000,4.7,Santai,Tidak,"Sweets, Chinese",Tidak,4,2,Disajikan,Ala Carte,0
"Waroeng Steak and Shake, Demangan",Western,3.73 km,40000,4.7,Santai,Tidak,Western,Tidak,2,1,Disajikan,Ala Carte,2
"Waroeng Steak and Shake, Jalan Bantul",Western,4.08 km,40000,4.7,Santai,Tidak,Western,Tidak,1,2,Disajikan,Ala Carte,2
"Spark Resto And Sports Bar, Prawirotaman",Western,2.21 km,36000,4.7,Santai,Ya,"Western, Beverages, Sate",Tidak,3,3,Disajikan,Ala Carte,0
"Dapur Mamika, Jl Sisingamangaraja Gg Menur",Western,1.68 km,18000,3.9,Santai,Tidak,"Western, Chicken & duck, Rice",Tidak,4,1,Disajikan,Ala Carte,0
"Burgerax, Demangan Baru",Western,3.59 km,38000,4.6,Santai,Tidak,"Western, Snacks, Fast food",Tidak,4,3,Disajikan,Ala Carte,2
"Pawon Mbokdis, Mantrigawen Lor",Japanese,2.28 km,20000,4.6,Santai,Tidak,"Aneka nasi, Bakmie, Chinese",Tidak,4,2,Disajikan,Ala Carte,0
"Rm & Seafood 99, Sorowajan",Chinese,2.91 km,22000,4.2,Santai,Ya,"Aneka nasi, Bakmie, Chinese",Tidak,2,2,Disajikan,Ala Carte,0
"Pecel Lele, Rawon Dan Soto Lamongan Yuk In, Giwangan, Umbulharjo",Indonesia,1.38 km,15000,3.9,Santai,Tidak,"Aneka nasi, Bakso & soto",Tidak,3,2,Disajikan,Ala Carte,0
"Ayam Geprek DBC, Beskalan",Indonesia,3.01 km,21000,4.7,Santai,Tidak,"Aneka nasi, Bakso & soto, Ayam & bebek, Minuman",Tidak,1,1,Disajikan,Ala Carte,0
"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli",Chinese,0.72 km,25000,4.5,Santai,Ya,"Aneka nasi, Chinese, Bakmie",Tidak,2,2,Disajikan,Ala Carte,0
"Soto Ayam 61, Gondomanan",Indonesia,3.01 km,19000,4.5,Santai,Tidak,"Ayam & bebek, Bakso & soto",Tidak,4,1,Disajikan,Ala Carte,0
"Seblak Mang Cepot & Baso Aci Hoax, Umbulharjo",Indonesia,0.53 km,19000,4.6,Santai,Ya,"Ayam & bebek, Bakso & soto, Cepat saji",Tidak,3,3,Disajikan,Ala Carte,0
"Buttersweet, Saman Utara",Western,3.14 km,20000,3.9,Santai,Tidak,"Bakery, Beverages, Western",Tidak,3,3,Disajikan,Ala Carte,0
"Bakso Lontong Djeng Thathit, Suryodiningratan",Indonesia,3.06 km,16000,4.0,Santai,Tidak,Bakso & soto,Tidak,4,3,Disajikan,Ala Carte,0
"Bakso Urat Arema Soringin, Langensari",Indonesia,3.02 km,19000,4.4,Santai,Tidak,Bakso & soto,Tidak,3,2,Disajikan,Ala Carte,0
"Bakso Urat Cak Ari, Mataram",Indonesia,3.1 km,20000,4.5,Santai,Tidak,Bakso & soto,Tidak,4,2,Disajikan,Ala Carte,0
"Soto Daging Lamongan Cak Ngun, Jl. Veteran No 212 Umbulharjo",Indonesia,0.43 km,24000,4.5,Santai,Tidak,Bakso & soto,Tidak,2,2,Disajikan,Ala Carte,0
"Agenda Resto & Vibes, Arkadia",Western,2.04 km,48000,4.3,Santai,Tidak,"Beverages, Pizza & pasta, Western",Tidak,1,2,Disajikan,Ala Carte,2
Raja Sate & Soto,Indonesia,0.76 km,27000,4.9,Santai,Tidak,"Cepat saji, Sate, Bakso & soto",Tidak,1,2,Disajikan,Ala Carte,0
CHICKATS,Japanese,6.4 km,25000,4.7,Santai,Tidak,"Chicken & duck, Rice, Japanese",Tidak,3,1,Disajikan,Ala Carte,0
Chinese Food / Sea Food Kondang,Chinese,2.33 km,31000,4.8,Santai,Tidak,"Chinese, Ayam & bebek, Seafood",Tidak,4,2,Disajikan,Ala Carte,0
Suguhand Cafe,Western,3.35 km,111000,4.4,Santai,Tidak,"Coffee, Western, Pizza & pasta",Tidak,3,2,Disajikan,Ala Carte,1
"HokBen, Kaliurang",Japanese,6.13 km,49000,4.8,Formal,Tidak,"Fast food, Japanese",Tidak,2,3,Disajikan,Ala Carte,2
"Pop Mart, Laksda Adi Sucipto (Korner)",Western,4.04 km,22000,4.7,Santai,Tidak,"Fast food, Western, Coffee",Tidak,1,1,Disajikan,Ala Carte,0
"Tahu Walik & Soto Warisan, Masjid Umbulharjo",Indonesia,0.53 km,19000,4.6,Santai,Tidak,"Jajanan, Cepat saji, Bakso & soto",Tidak,3,2,Disajikan,Ala Carte,0
"HokBen Kitchen, Brontokusuman Parangtritis",Japanese,2.29 km,49000,4.8,Formal,Tidak,"Japanese, Fast food",Tidak,4,1,Disajikan,Ala Carte,2
"Hakata Ikkousha, Demangan Baru",Japanese,3.92 km,80000,4.7,Formal,Tidak,"Japanese, Noodles",Tidak,2,3,Disajikan,Ala Carte,2
"Tanoshii Sushi, Pogung Dalangan",Japanese,6.4 km,58000,4.7,Santai,Ya,"Japanese, Rice, Korean, Snacks, Fast food",Tidak,3,2,Disajikan,Ala Carte,2
"Pizza Hut, Sudirman",Western,3.68 km,119000,4.7,Formal,Tidak,"Pizza & pasta, Fast food, Western",Tidak,3,3,Disajikan,Ala Carte,1
"Roaster and Bear, P. Mangkubumi",Western,3.87 km,87000,4.7,Santai,Tidak,"Rice, Chicken & duck, Beverages, Snacks, Sweets, Western, Coffee, Pizza & pasta",Tidak,3,1,Disajikan,Ala Carte,1
"Essen Choco Pot, Gedong Kuning",Western,1.8 km,35000,4.7,Santai,Tidak,"Rice, Western, Beverages",Tidak,4,2,Disajikan,Ala Carte,0
"Zona Seafood, Kotabaru",Chinese,3.24 km,44000,4.8,Santai,Tidak,"Seafood, Chinese",Tidak,3,3,Disajikan,Ala Carte,2
Burgerax Demangan 2,Western,3.57 km,38000,4.2,Santai,Tidak,"Snacks, Fast food, Western",Tidak,4,3,Disajikan,Ala Carte,2
"Makan Burger & Toast, Mantrirejon",Western,3.01 km,21000,4.6,Santai,Tidak,Western,Tidak,1,2,Disajikan,Ala Carte,0
"Reisban Coffee Shop, Menukan",Western,2.13 km,25000,4.7,Santai,Tidak,"Western, Coffee, Beverages",Tidak,1,1,Disajikan,Ala Carte,0
"Pupa Meatshop, Banguntapan",Western,2.58 km,47000,4.8,Santai,Ya,"Western, Japanese, Korean",Tidak,1,2,Disajikan,Ala Carte,2
"Pupa Meatshop, Prawirotaman",Western,2.19 km,47000,4.9,Santai,Ya,"Western, Japanese, Korean",Tidak,3,1,Disajikan,Ala Carte,2
"Pepper Lunch, Hartono Mall",Japanese,6.02 km,92000,4.9,Formal,Ya,"Western, Japanese, Rice, Chicken & duck",Tidak,3,1,Disajikan,Ala Carte,1
"King Star Kebab, Nogorojo",Western,3.33 km,23000,4.5,Santai,Tidak,"Western, Snacks",Tidak,3,2,Disajikan,Ala Carte,0
"Yamie Panda, Kridosono",Chinese,3.04 km,28000,4.7,Santai,Ya,"Bakmie, Chinese",Ya,1,2,Disajikan,Ala Carte,0
"Warung Makan Bu Sri, Umbulharjo",Indonesia,1.1 km,13000,4.4,Santai,Tidak,"Aneka nasi, Ayam & bebek, Bakso & soto",Tidak,1,3,Disajikan,Ala Carte,0
"Rumah Makan Terang Mulyo, Katamso",Chinese,2.07 km,42000,4.8,Santai,Ya,"Aneka nasi, Bakmie, Chinese",Tidak,4,3,Disajikan,Ala Carte,2
SGPC Sop Penyetan Bu Wiryo Cendana,Indonesia,1.49 km,18000,4.8,Santai,Tidak,"Aneka nasi, Bakso & soto",Tidak,3,3,Disajikan,Ala Carte,0
"Berkah Abadi, Pasar Kranggan",Chinese,4.13 km,28000,4.2,Santai,Tidak,"Ayam & bebek, Chinese",Tidak,1,2,Disajikan,Ala Carte,0
"Mie Ayam Dan Bakso Babaran, Umbulharjo",Indonesia,0.29 km,17000,4.5,Santai,Tidak,"Bakmie, Bakso & soto",Tidak,3,2,Disajikan,Ala Carte,0
Yamie Singkawang,Chinese,2.08 km,45000,4.7,Santai,Tidak,"Bakmie, Chinese",Tidak,4,3,Disajikan,Ala Carte,2
"Easy Peasy Kitchen, Prawirotaman",Western,1.94 km,43000,4.8,Santai,Tidak,"Beverages, Western",Tidak,3,2,Disajikan,Ala Carte,2
"Kiwae Ayam Kekinian, Nologaten",Western,4.29 km,30000,4.8,Santai,Ya,"Chicken & duck, Korean, Western",Tidak,2,1,Disajikan,Ala Carte,0
"Pepper Lunch, Plaza Ambarrukmo",Japanese,3.72 km,92000,4.6,Formal,Ya,"Chicken & duck, Rice, Japanese",Tidak,4,3,Disajikan,Ala Carte,1
Makmur Spesial B2 Food,Chinese,4.04 km,31000,4.6,Santai,Ya,"Chinese, Aneka nasi, Bakmie",Tidak,4,1,Disajikan,Ala Carte,0
"Rice&Steak, Ngipik, Potorono, Banguntapan, Bantul",Chinese,4.18 km,27000,4.5,Santai,Ya,"Fast food, Chinese, Western",Tidak,4,2,Disajikan,Ala Carte,0
"Japanese Town Snack, Matrijeron",Japanese,3.78 km,27000,4.4,Santai,Tidak,"Fast food, Japanese, Snacks",Tidak,2,3,Disajikan,Ala Carte,0
"Seblak Asgar, Lowanu",Indonesia,1.42 km,33000,4.5,Santai,Tidak,"Jajanan, Bakso & soto",Tidak,4,2,Disajikan,Ala Carte,0
"Tora Tora, Kaliurang",Japanese,5.24 km,28000,4.6,Santai,Ya,"Japanese, Rice",Tidak,3,2,Disajikan,Ala Carte,0
"Jajan Fast Food, Sisingamangaraja",Western,1.69 km,18000,4.4,Santai,Tidak,"Rice, Fast food, Western",Tidak,3,3,Disajikan,Ala Carte,0
"Sate Taichan Hitz, Gejayan",Japanese,3.63 km,32000,4.6,Santai,Tidak,"Snacks, Japanese, Sate",Tidak,2,3,Disajikan,Ala Carte,0
"Kebab Turki Babarafi, Babarsari",Western,4.55 km,23000,4.2,Santai,Tidak,"Snacks, Western",Tidak,4,3,Disajikan,Ala Carte,0
"Boom Burger, Seturan",Western,4.56 km,37000,4.7,Santai,Tidak,Western,Tidak,4,3,Disajikan,Ala Carte,0
"Dang! Burger, Glagah Sari",Western,0.26 km,29000,4.6,Santai,Tidak,Western,Tidak,2,3,Disajikan,Ala Carte,0
"Burger Bangor Express, Taman Siswa",Western,1.4 km,40000,4.7,Santai,Tidak,"Western, Fast food, Chicken & duck",Tidak,2,3,Disajikan,Ala Carte,2
"Yamie Panda, Timoho",Chinese,1.91 km,28000,4.7,Santai,Ya,"Bakmie, Bakso & soto, Chinese",Ya,3,3,Disajikan,Ala Carte,0
"Cak No Chinese Food, Jogoyudan",Chinese,3.72 km,25000,4.7,Santai,Ya,"Aneka nasi, Bakmie, Chinese",Tidak,3,1,Disajikan,Ala Carte,0
Warung Sop Iga Dan Soto Betawi Bu Tya,Indonesia,1.08 km,28000,4.5,Santai,Tidak,"Aneka nasi, Bakso & soto",Tidak,3,3,Disajikan,Ala Carte,0
"Bakso dan Mie Ayam Muncul, Jl. Nyi Wiji Adhisoro",Indonesia,0.86 km,14000,4.5,Santai,Tidak,Bakso & soto,Tidak,1,3,Disajikan,Ala Carte,0
"Sop Ayam Pak Min Klaten, Taman Siswa",Indonesia,1.23 km,20000,4.7,Santai,Ya,"Bakso & soto, Ayam & bebek, Aneka nasi",Tidak,2,3,Disajikan,Ala Carte,0
"Warung Makan Bu Week, Tegalturi",Indonesia,1.37 km,15000,4.3,Santai,Tidak,"Bakso & soto, Minuman",Tidak,4,3,Disajikan,Ala Carte,0
"DF HEALTHY KITCHEN (DF FIT CLUB), Yk",Western,3.64 km,76000,4.9,Santai,Tidak,"Beverages, Rice, Western",Tidak,3,1,Disajikan,Ala Carte,2
"Ono Dimsum, Baciro",Japanese,2.35 km,17000,4.6,Santai,Tidak,"Chinese, Jajanan",Tidak,4,2,Disajikan,Ala Carte,0
"Sushiruma, Babarsari",Japanese,5.43 km,30000,4.6,Santai,Ya,Japanese,Tidak,4,2,Disajikan,Ala Carte,0
"Hokben Kitchen, Seturan Jogja",Japanese,5.5 km,49000,4.8,Formal,Tidak,"Japanese, Fast food",Tidak,1,1,Disajikan,Ala Carte,2
"Tom Sushi, Hartono Mall Jogja",Japanese,6.03 km,56000,4.7,Formal,Tidak,"Japanese, Fast food",Tidak,3,1,Disajikan,Ala Carte,2
"Banzai, Mergangsan",Japanese,1.2 km,45000,4.8,Formal,Tidak,"Japanese, Fast food, Rice",Tidak,3,1,Disajikan,Ala Carte,2
"RamenYa!, Plaza Ambarrukmo",Japanese,3.71 km,73000,4.6,Santai,Tidak,"Japanese, Rice, Noodles",Tidak,2,3,Disajikan,Ala Carte,2
"Pizza Hut, Adi Sucipto Jogja",Western,3.99 km,119000,4.7,Formal,Tidak,"Pizza & pasta, Fast food, Western",Tidak,3,1,Disajikan,Ala Carte,1
"Pizza Hut, Sultan Agung Yogyakarta",Western,1.49 km,119000,4.7,Formal,Tidak,"Pizza & pasta, Fast food, Western",Tidak,1,1,Disajikan,Ala Carte,1
"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya",Western,1.24 km,29000,4.3,Santai,Tidak,"Pizza & pasta, Snacks, Western",Tidak,1,1,Disajikan,Ala Carte,0
"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis",Chinese,3.84 km,120000,4.5,Santai,Tidak,"Seafood, Bakmie, Chinese",Tidak,4,2,Disajikan,Ala Carte,1
"Manalagi KQ 5, Ngampilan",Chinese,3.7 km,26000,4.7,Santai,Tidak,"Seafood, Chinese",Tidak,1,2,Disajikan,Ala Carte,0
"Lawson Shop, Tegalrejo",Japanese,4.43 km,44000,4.0,Formal,Tidak,"Snacks, Beverages, Japanese, Coffee, Korean",Tidak,3,3,Disajikan,Ala Carte,2
"Burgerax, Glagahsari",Western,1.17 km,38000,4.2,Santai,Tidak,"Snacks, Western",Tidak,2,3,Disajikan,Ala Carte,2
"Ini Baru Rajanya Steak, Banguntapan",Western,2.1 km,35000,4.6,Formal,Tidak,Western,Tidak,1,3,Disajikan,Ala Carte,0
"Burger Bangor Express, Janti",Western,2.4 km,40000,4.7,Santai,Tidak,"Western, Fast food, Chicken & duck",Tidak,4,3,Disajikan,Ala Carte,2
"Black Kebab, Wirobrajan",Middle Eastern,4.39 km,23000,4.4,Santai,Tidak,"Western, Middle Eastern, Snacks",Tidak,3,1,Disajikan,Ala Carte,0
"Oz Resto & Cafe, Permata Demangan",Western,3.68 km,25000,4.7,Formal,Tidak,"Western, Pizza & pasta, Rice, Chicken & duck",Tidak,3,2,Disajikan,Ala Carte,0
"Twisted Noodle, Gondokusuman",Chinese,3.54 km,12000,4.6,Santai,Tidak,"Bakmie, Chinese",Ya,2,2,Disajikan,Ala Carte,0
"Yamie Panda, Demangan",Chinese,3.85 km,28000,4.7,Santai,Ya,"Bakmie, Chinese",Ya,2,2,Disajikan,Ala Carte,0
"RM Makmur Chinese Food, Sosromenduran",Chinese,3.66 km,40000,4.7,Santai,Tidak,"Aneka nasi, Bakmie, Chinese",Tidak,2,3,Disajikan,Ala Carte,2
"Brongkos Koyor dan Sop Buntut Mbak Ris, Balaikota",Indonesia,1.51 km,30000,4.7,Santai,Tidak,"Aneka nasi, Bakso & soto, Seafood",Tidak,2,1,Disajikan,Ala Carte,0
